Paper_ID,Scoring_Status,Q1_Aim_Clear_0_2,Q2_Method_Fit_0_2,Q3_Sample_Data_Adequate_0_2,Q4_Context_Clear_0_2,Q5_Analysis_Rigorous_0_2,Q6_Validity_Reliability_0_2,Q7_Evidence_Supports_Claims_0_2,Q8_Limitations_Discussed_0_2,Q9_Relevance_To_LCNC_0_2,Q10_Novelty_Contribution_0_2,Q11_Transparency_Reproducibility_0_2,Q12_Usefulness_For_Review_0_2,Total_Score_0_24,Quality_Rating,Quality_Rationale,Risk_of_Bias_Notes
P001,Completed,2,2,1,2,2,2,2,2,2,2,,2,23,Strong,,
P002,Completed,2,2,0,2,1,0,2,0,2,2,,2,17,Moderate,,
P003,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P004,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P005,Completed,2,0,0,2,2,2,2,2,2,2,,2,20,Strong,,
P006,Completed,2,2,0,2,2,2,2,2,0,2,,0,18,Moderate,,
P007,Completed,2,2,0,2,2,0,2,2,2,2,,2,20,Strong,,
P008,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P009,Completed,2,2,0,2,2,2,2,2,2,2,,2,22,Strong,,
P010,Completed,2,2,1,2,2,0,2,2,2,2,,2,21,Strong,,
P011,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P012,Completed,2,2,0,2,2,0,2,2,2,2,,2,20,Strong,,
P013,Completed,2,2,0,2,2,0,2,2,2,2,,2,20,Strong,,
P014,Completed,2,2,1,2,2,0,2,2,2,2,,2,21,Strong,,
P015,Completed,2,2,0,2,1,0,2,0,2,2,,2,16,Moderate,,
P016,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P017,Completed,2,0,0,2,2,2,2,2,2,2,,2,20,Strong,,
P018,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P019,Completed,2,0,0,2,2,2,2,2,2,2,,2,20,Strong,,
P020,Completed,2,2,0,2,2,0,2,2,2,2,,2,20,Strong,,
P021,Completed,2,0,0,2,2,2,2,2,2,2,,2,20,Strong,,
P022,Completed,2,2,2,2,2,0,2,2,2,2,,2,22,Strong,,
P023,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P024,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P025,Completed,2,2,2,2,2,0,2,2,2,2,,2,22,Strong,,
P026,Completed,2,2,0,2,2,2,2,2,2,2,,2,22,Strong,,
P027,Completed,2,2,0,2,2,2,2,2,2,2,,2,22,Strong,,
P028,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P029,Completed,2,0,2,2,2,2,2,2,2,2,,2,22,Strong,,
P030,Completed,2,2,0,2,2,2,2,2,2,2,,2,22,Strong,,
P031,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P032,Completed,2,2,0,2,2,2,2,2,2,2,,2,22,Strong,,
P033,Completed,2,2,0,2,2,0,2,2,2,2,,2,20,Strong,,
P034,Completed,2,2,0,2,2,0,2,2,2,2,,2,20,Strong,,
P035,Completed,1,2,1,2,2,2,2,2,2,2,,2,22,Strong,,
P036,Completed,2,2,0,2,2,0,2,2,2,2,,2,20,Strong,,
P037,Completed,2,0,0,2,2,0,2,2,2,2,,2,18,Moderate,,
P038,Completed,2,0,0,2,2,2,2,2,0,2,,0,16,Moderate,,
P039,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P040,Completed,1,2,0,2,2,2,2,2,2,2,,2,21,Strong,,
P041,Completed,2,0,0,2,2,2,2,2,2,2,,2,19,Moderate,,
P042,Completed,2,2,1,2,2,2,2,2,2,2,,2,23,Strong,,
P043,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P044,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P045,Completed,2,0,0,2,2,2,2,2,2,2,,2,20,Strong,,
P046,Completed,2,2,0,2,2,0,2,0,2,2,,2,18,Moderate,,
P047,Completed,2,2,0,2,2,0,2,2,2,2,,2,20,Strong,,
P048,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
P049,Completed,2,0,2,2,2,2,2,0,2,2,,2,20,Strong,,
P050,Completed,2,2,2,2,2,2,2,2,2,2,,2,24,Strong,,
